#iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],gpsFlag[],temp[C]#,GNSS Time [UTC],height[m]
27001900,2022:1:23:7:29:43,3,11.383338,47.3122471,2311151,16,-54,-25,56,31679792,184,10,925572359,1,8.06,2022-01-23 07:29:43,2311.151
27002000,2022:1:23:7:29:44,3,11.3833382,47.3122468,2311176,5,22,-24,23,31679792,184,10,925637895,1,8.06,2022-01-23 07:29:44,2311.176
27002100,2022:1:23:7:29:44,3,11.383338,47.3122468,2311191,13,-55,-22,56,31679792,184,10,925637895,0,8.06,2022-01-23 07:29:44,2311.191
27002200,2022:1:23:7:29:44,3,11.3833382,47.3122466,2311218,44,25,-29,50,31679792,184,10,925637895,0,8.06,2022-01-23 07:29:44,2311.218
27002300,2022:1:23:7:29:44,3,11.3833382,47.3122463,2311222,-32,-25,-23,41,31679792,184,10,925637895,0,8.06,2022-01-23 07:29:44,2311.222
27002400,2022:1:23:7:29:44,3,11.3833384,47.3122462,2311230,-2,52,-16,52,31679792,184,10,925637895,0,8.06,2022-01-23 07:29:44,2311.23
27002500,2022:1:23:7:29:44,3,11.3833381,47.3122462,2311250,18,-29,-13,34,31679792,184,10,925637895,0,8.06,2022-01-23 07:29:44,2311.25
27002600,2022:1:23:7:29:44,3,11.3833383,47.3122459,2311288,-37,13,-25,40,31679792,184,10,925637895,0,8.06,2022-01-23 07:29:44,2311.288
27002700,2022:1:23:7:29:44,3,11.3833381,47.312246,2311292,29,-33,-18,44,31679792,184,10,925637895,0,8.06,2022-01-23 07:29:44,2311.292
27002800,2022:1:23:7:29:44,3,11.3833382,47.3122459,2311305,57,2,-21,57,31679792,184,10,925637895,0,8.06,2022-01-23 07:29:44,2311.305
27002900,2022:1:23:7:29:44,3,11.3833384,47.3122456,2311315,-23,18,-24,29,31679792,184,10,925637895,0,8.06,2022-01-23 07:29:44,2311.315
27003000,2022:1:23:7:29:45,3,11.3833383,47.3122458,2311310,106,-15,-13,107,31679792,184,10,925703431,0,8.06,2022-01-23 07:29:45,2311.31
27003100,2022:1:23:7:29:45,3,11.3833385,47.3122453,2311334,-18,13,-13,23,31679792,184,10,925703431,1,8.06,2022-01-23 07:29:45,2311.334
27003200,2022:1:23:7:29:45,3,11.3833385,47.3122451,2311367,-25,13,-21,29,31679792,184,10,925703431,1,8.06,2022-01-23 07:29:45,2311.367
27003300,2022:1:23:7:29:45,3,11.3833384,47.312245,2311392,11,-30,-26,31,31679792,184,10,925703431,1,8.06,2022-01-23 07:29:45,2311.392
27003400,2022:1:23:7:29:45,3,11.3833385,47.3122449,2311396,18,-4,-13,19,31679792,184,10,925703431,1,8.06,2022-01-23 07:29:45,2311.396
27003500,2022:1:23:7:29:45,3,11.3833384,47.3122448,2311439,47,-9,-27,48,31679792,184,10,925703431,1,8.06,2022-01-23 07:29:45,2311.439
27003600,2022:1:23:7:29:45,3,11.3833385,47.3122445,2311462,-7,-18,-30,19,31679792,184,10,925703431,1,8.06,2022-01-23 07:29:45,2311.462
27003700,2022:1:23:7:29:45,3,11.3833386,47.3122444,2311488,7,22,-33,23,31679792,184,10,925703431,1,8.06,2022-01-23 07:29:45,2311.488
27003800,2022:1:23:7:29:45,3,11.3833385,47.3122443,2311488,4,-23,-22,23,31679792,184,10,925703431,1,8.06,2022-01-23 07:29:45,2311.488
27003900,2022:1:23:7:29:45,3,11.3833386,47.3122442,2311503,8,-6,-15,10,31679792,184,10,925703431,1,8.06,2022-01-23 07:29:45,2311.503
27004000,2022:1:23:7:29:46,3,11.3833386,47.312244,2311519,-4,-9,-16,10,31679792,184,10,925768967,1,8.06,2022-01-23 07:29:46,2311.519
27004100,2022:1:23:7:29:46,3,11.3833386,47.312244,2311532,15,-4,-15,15,31679792,184,10,925768967,0,8.06,2022-01-23 07:29:46,2311.532
27004200,2022:1:23:7:29:46,3,11.3833385,47.312244,2311545,67,-19,-8,69,31679792,184,10,925768967,0,8.06,2022-01-23 07:29:46,2311.545
27004300,2022:1:23:7:29:46,3,11.3833383,47.312244,2311590,76,-83,-24,112,31679792,184,10,925768967,0,8.06,2022-01-23 07:29:46,2311.59
27004400,2022:1:23:7:29:46,3,11.3833384,47.312244,2311614,95,-27,-34,99,31679792,184,10,925768967,0,8.06,2022-01-23 07:29:46,2311.614
27004500,2022:1:23:7:29:46,3,11.3833382,47.3122439,2311642,63,-81,-46,102,31679792,184,10,925768967,0,8.06,2022-01-23 07:29:46,2311.642
27004600,2022:1:23:7:29:46,3,11.3833382,47.312244,2311649,129,-63,-46,144,31679792,184,10,925768967,0,8.06,2022-01-23 07:29:46,2311.649
27004700,2022:1:23:7:29:46,3,11.3833381,47.3122439,2311674,62,-97,-55,116,31679792,184,10,925768967,0,8.06,2022-01-23 07:29:46,2311.674
27004800,2022:1:23:7:29:46,3,11.383338,47.3122438,2311695,57,-85,-66,102,31679792,184,10,925768967,0,8.06,2022-01-23 07:29:46,2311.695
27004900,2022:1:23:7:29:46,3,11.3833381,47.3122438,2311685,68,-43,-54,80,31679792,184,10,925768967,0,8.06,2022-01-23 07:29:46,2311.685
27005000,2022:1:23:7:29:47,3,11.3833381,47.3122436,2311706,20,-67,-64,70,31679792,184,10,925834503,0,8.06,2022-01-23 07:29:47,2311.706
27005100,2022:1:23:7:29:47,3,11.3833381,47.3122436,2311715,53,-55,-62,76,31679792,184,10,925834503,0,8.06,2022-01-23 07:29:47,2311.715
27005200,2022:1:23:7:29:47,3,11.3833381,47.3122435,2311732,29,-35,-63,46,31679792,184,10,925834503,1,8.06,2022-01-23 07:29:47,2311.732
27005300,2022:1:23:7:29:47,3,11.3833382,47.3122434,2311734,24,-20,-60,31,31679792,184,10,925834503,1,8.06,2022-01-23 07:29:47,2311.734
27005400,2022:1:23:7:29:47,3,11.3833381,47.3122434,2311741,69,-34,-54,77,31679792,184,10,925834503,1,8.06,2022-01-23 07:29:47,2311.741
27005500,2022:1:23:7:29:47,3,11.383338,47.3122434,2311783,94,-54,-59,109,31679792,184,10,925834503,1,8.06,2022-01-23 07:29:47,2311.783
27005600,2022:1:23:7:29:47,3,11.3833379,47.3122432,2311813,25,-83,-65,87,31679792,184,10,925834503,1,8.06,2022-01-23 07:29:47,2311.813
27005700,2022:1:23:7:29:47,3,11.383338,47.3122431,2311807,23,-15,-49,27,31679792,184,10,925834503,1,8.06,2022-01-23 07:29:47,2311.807
27005800,2022:1:23:7:29:47,3,11.3833379,47.3122431,2311825,51,-45,-46,68,31679792,184,10,925834503,1,8.06,2022-01-23 07:29:47,2311.825
27005900,2022:1:23:7:29:47,3,11.3833381,47.3122428,2311840,-23,23,-35,33,31679792,184,10,925834503,1,8.06,2022-01-23 07:29:47,2311.84
27006000,2022:1:23:7:29:48,3,11.3833383,47.3122426,2311843,-48,47,-23,67,31679792,184,10,925900039,1,8.06,2022-01-23 07:29:48,2311.843
27006100,2022:1:23:7:29:48,3,11.3833382,47.3122425,2311849,-52,-21,-18,56,31679792,184,10,925900039,1,8.06,2022-01-23 07:29:48,2311.849
27006200,2022:1:23:7:29:48,3,11.3833384,47.3122424,2311848,-30,46,-12,55,31679792,184,10,925900039,0,8.06,2022-01-23 07:29:48,2311.848
27006300,2022:1:23:7:29:48,3,11.3833386,47.3122422,2311851,-31,52,-4,61,31679792,184,10,925900039,0,8.06,2022-01-23 07:29:48,2311.851
27006400,2022:1:23:7:29:48,3,11.3833384,47.3122422,2311887,-18,-27,-13,32,31679792,184,10,925900039,0,8.06,2022-01-23 07:29:48,2311.887
27006500,2022:1:23:7:29:48,3,11.3833384,47.3122422,2311897,11,-8,-9,14,31679792,184,10,925900039,0,8.06,2022-01-23 07:29:48,2311.897
27006600,2022:1:23:7:29:48,3,11.3833385,47.3122421,2311918,12,20,-14,23,31679792,184,10,925900039,0,8.06,2022-01-23 07:29:48,2311.918
27006700,2022:1:23:7:29:48,3,11.3833385,47.312242,2311913,6,-23,-6,24,31679792,184,10,925900039,0,8.06,2022-01-23 07:29:48,2311.913
27006800,2022:1:23:7:29:48,3,11.3833386,47.3122419,2311923,2,10,0,10,31679792,184,10,925900039,0,8.06,2022-01-23 07:29:48,2311.923
27006900,2022:1:23:7:29:48,3,11.3833386,47.3122418,2311941,-33,-18,-5,38,31679792,184,10,925900039,0,8.06,2022-01-23 07:29:48,2311.941
27007000,2022:1:23:7:29:49,3,11.3833387,47.3122416,2311953,-47,24,-3,52,31679792,184,10,925965575,0,8.06,2022-01-23 07:29:49,2311.953
27007100,2022:1:23:7:29:49,3,11.3833385,47.3122416,2311985,-7,-50,-11,51,31679792,184,10,925965575,0,8.06,2022-01-23 07:29:49,2311.985
27007200,2022:1:23:7:29:49,3,11.3833388,47.3122414,2311979,-30,15,-1,34,31679792,184,10,925965575,1,8.06,2022-01-23 07:29:49,2311.979
27007300,2022:1:23:7:29:49,3,11.3833388,47.3122413,2311997,-9,-4,-7,10,31679792,184,10,925965575,1,8.06,2022-01-23 07:29:49,2311.997
27007400,2022:1:23:7:29:49,3,11.3833389,47.3122411,2311999,-18,8,-1,20,31679792,184,10,925965575,1,8.06,2022-01-23 07:29:49,2311.999
27007500,2022:1:23:7:29:49,3,11.383339,47.3122409,2312018,-37,11,-9,39,31679792,184,10,925965575,1,8.06,2022-01-23 07:29:49,2312.018
27007600,2022:1:23:7:29:49,3,11.383339,47.3122409,2312019,7,9,-2,12,31679792,184,10,925965575,1,8.06,2022-01-23 07:29:49,2312.019
27007700,2022:1:23:7:29:49,3,11.3833391,47.3122408,2312028,14,16,-6,21,31679792,184,10,925965575,1,8.06,2022-01-23 07:29:49,2312.028
27007800,2022:1:23:7:29:49,3,11.3833391,47.3122408,2312038,30,-17,-3,34,31679792,184,10,925965575,1,8.06,2022-01-23 07:29:49,2312.038
27007900,2022:1:23:7:29:49,3,11.3833391,47.3122406,2312078,-23,-26,-23,35,31679792,184,10,925965575,1,8.06,2022-01-23 07:29:49,2312.078
27008000,2022:1:23:7:29:50,3,11.3833391,47.3122405,2312087,4,-19,-23,19,31679792,183,10,926031111,1,8.06,2022-01-23 07:29:50,2312.087
27008100,2022:1:23:7:29:50,3,11.3833392,47.3122406,2312064,65,-33,-17,73,31679792,183,10,926031111,1,8.06,2022-01-23 07:29:50,2312.064
27008200,2022:1:23:7:29:50,3,11.3833393,47.3122404,2312067,13,-22,-13,26,31679792,183,10,926031111,0,8.06,2022-01-23 07:29:50,2312.067
27008300,2022:1:23:7:29:50,3,11.3833393,47.3122402,2312098,-24,-17,-24,29,31679792,183,10,926031111,0,8.06,2022-01-23 07:29:50,2312.098
27008400,2022:1:23:7:29:50,3,11.3833394,47.3122401,2312082,-4,-5,-17,6,31679792,183,10,926031111,0,8.06,2022-01-23 07:29:50,2312.082
27008500,2022:1:23:7:29:50,3,11.3833396,47.3122399,2312094,-62,3,-22,62,31679792,183,10,926031111,0,8.06,2022-01-23 07:29:50,2312.094
27008600,2022:1:23:7:29:50,3,11.3833396,47.3122398,2312096,-26,-1,-23,26,31679792,183,10,926031111,0,8.06,2022-01-23 07:29:50,2312.096
27008700,2022:1:23:7:29:50,3,11.3833398,47.3122395,2312098,-67,14,-24,69,31679792,183,10,926031111,0,8.06,2022-01-23 07:29:50,2312.098
27008800,2022:1:23:7:29:50,3,11.3833399,47.3122397,2312106,44,24,-22,50,31679792,183,10,926031111,0,8.06,2022-01-23 07:29:50,2312.106
27008900,2022:1:23:7:29:50,3,11.38334,47.3122395,2312101,-3,7,-16,8,31679792,183,10,926031111,0,8.06,2022-01-23 07:29:50,2312.101
27009000,2022:1:23:7:29:51,3,11.3833402,47.3122393,2312102,-61,14,-15,62,31679792,183,10,926096647,0,8.06,2022-01-23 07:29:51,2312.102
27009100,2022:1:23:7:29:51,3,11.3833402,47.3122393,2312112,2,31,-13,31,31679792,183,10,926096647,0,8.06,2022-01-23 07:29:51,2312.112
27009200,2022:1:23:7:29:51,3,11.3833404,47.3122391,2312099,-49,28,-1,57,31679792,183,10,926096647,1,8.06,2022-01-23 07:29:51,2312.099
27009300,2022:1:23:7:29:51,3,11.3833405,47.312239,2312113,-32,18,-11,37,31679792,183,10,926096647,1,8.06,2022-01-23 07:29:51,2312.113
27009400,2022:1:23:7:29:51,3,11.3833406,47.3122389,2312102,-38,2,-2,38,31679792,183,10,926096647,1,8.06,2022-01-23 07:29:51,2312.102
27009500,2022:1:23:7:29:51,3,11.3833405,47.3122389,2312120,-17,-39,-12,43,31679792,183,10,926096647,1,8.06,2022-01-23 07:29:51,2312.12
27009600,2022:1:23:7:29:51,3,11.3833407,47.3122388,2312117,-13,8,-11,15,31679792,183,10,926096647,1,8.06,2022-01-23 07:29:51,2312.117
27009700,2022:1:23:7:29:51,3,11.3833407,47.3122387,2312117,-29,-29,-9,42,31679792,183,10,926096647,1,8.06,2022-01-23 07:29:51,2312.117
27009800,2022:1:23:7:29:51,3,11.3833409,47.3122385,2312129,-62,16,-14,64,31679792,183,10,926096647,1,8.06,2022-01-23 07:29:51,2312.129
27009900,2022:1:23:7:29:51,3,11.3833411,47.3122384,2312096,-52,8,2,53,31679792,183,10,926096647,1,8.06,2022-01-23 07:29:51,2312.096
27010000,2022:1:23:7:29:52,3,11.3833414,47.3122383,2312089,-29,56,5,64,31679792,183,10,926162183,1,8.06,2022-01-23 07:29:52,2312.089
27010100,2022:1:23:7:29:52,3,11.3833416,47.3122382,2312096,-39,66,2,77,31679792,183,10,926162183,1,8.06,2022-01-23 07:29:52,2312.096
27010200,2022:1:23:7:29:52,3,11.3833414,47.3122382,2312097,-26,-24,5,35,31679792,183,10,926162183,0,8.06,2022-01-23 07:29:52,2312.097
27010300,2022:1:23:7:29:52,3,11.3833415,47.3122382,2312115,0,4,4,4,31679792,183,10,926162183,0,8.06,2022-01-23 07:29:52,2312.115
27010400,2022:1:23:7:29:52,3,11.3833417,47.3122382,2312116,32,32,5,45,31679792,183,10,926162183,0,8.06,2022-01-23 07:29:52,2312.116
27010500,2022:1:23:7:29:52,3,11.3833417,47.312238,2312117,1,-12,3,12,31679792,183,10,926162183,0,8.06,2022-01-23 07:29:52,2312.117
27010600,2022:1:23:7:29:52,3,11.3833418,47.312238,2312119,20,-16,2,25,31679792,183,10,926162183,0,8.06,2022-01-23 07:29:52,2312.119
27010700,2022:1:23:7:29:52,3,11.3833421,47.3122377,2312128,-26,31,3,40,31679792,183,10,926162183,0,8.06,2022-01-23 07:29:52,2312.128
27010800,2022:1:23:7:29:52,3,11.3833423,47.3122375,2312122,-63,33,7,71,31679792,183,10,926162183,0,8.06,2022-01-23 07:29:52,2312.122
27010900,2022:1:23:7:29:52,3,11.3833425,47.3122373,2312109,-68,46,11,82,31679792,183,10,926162183,0,8.06,2022-01-23 07:29:52,2312.109
27011000,2022:1:23:7:29:53,3,11.3833426,47.3122373,2312106,-48,20,15,52,31679792,183,10,926227719,0,8.06,2022-01-23 07:29:53,2312.106
27011100,2022:1:23:7:29:53,3,11.3833425,47.3122373,2312128,-30,-7,6,31,31679792,183,10,926227719,0,8.06,2022-01-23 07:29:53,2312.128
27011200,2022:1:23:7:29:53,3,11.3833428,47.3122371,2312117,-73,11,9,74,31679792,183,10,926227719,1,8.06,2022-01-23 07:29:53,2312.117
27011300,2022:1:23:7:29:53,3,11.3833429,47.312237,2312130,-33,27,-3,43,31679792,183,10,926227719,1,8.06,2022-01-23 07:29:53,2312.13
27011400,2022:1:23:7:29:53,3,11.383343,47.3122371,2312103,8,28,10,29,31679792,183,10,926227719,1,8.06,2022-01-23 07:29:53,2312.103
27011500,2022:1:23:7:29:53,3,11.383343,47.3122371,2312092,12,-30,10,32,31679792,183,10,926227719,1,8.06,2022-01-23 07:29:53,2312.092
27011600,2022:1:23:7:29:53,3,11.3833434,47.3122368,2312089,-80,29,10,85,31679792,183,10,926227719,1,8.06,2022-01-23 07:29:53,2312.089
27011700,2022:1:23:7:29:53,3,11.3833435,47.3122368,2312067,-3,32,19,32,31679792,183,10,926227719,1,8.06,2022-01-23 07:29:53,2312.067
27011800,2022:1:23:7:29:53,3,11.3833438,47.3122366,2312065,-65,39,14,76,31679792,183,10,926227719,1,8.06,2022-01-23 07:29:53,2312.065
27011900,2022:1:23:7:29:53,3,11.3833438,47.3122366,2312066,-13,5,10,14,31679792,183,10,926227719,1,8.06,2022-01-23 07:29:53,2312.066
27012000,2022:1:23:7:29:54,3,11.3833439,47.3122366,2312060,3,14,20,14,31679792,183,10,926293255,1,8.06,2022-01-23 07:29:54,2312.06
27012100,2022:1:23:7:29:54,3,11.3833441,47.3122363,2312068,-54,34,11,64,31679792,183,10,926293255,1,8.06,2022-01-23 07:29:54,2312.068
27012200,2022:1:23:7:29:54,3,11.3833442,47.3122364,2312067,13,37,15,39,31679792,183,10,926293255,0,8.06,2022-01-23 07:29:54,2312.067
27012300,2022:1:23:7:29:54,3,11.3833443,47.3122363,2312068,-4,-6,9,7,31679792,183,10,926293255,0,8.06,2022-01-23 07:29:54,2312.068
27012400,2022:1:23:7:29:54,3,11.3833445,47.3122362,2312060,-10,8,13,13,31679792,183,10,926293255,0,8.06,2022-01-23 07:29:54,2312.06
27012500,2022:1:23:7:29:54,3,11.3833444,47.3122363,2312067,51,-31,10,60,31679792,183,10,926293255,0,8.06,2022-01-23 07:29:54,2312.067
27012600,2022:1:23:7:29:54,3,11.3833446,47.3122362,2312065,19,-13,14,23,31679792,183,10,926293255,0,8.06,2022-01-23 07:29:54,2312.065
27012700,2022:1:23:7:29:54,3,11.3833447,47.312236,2312099,-3,-4,-5,5,31679792,183,10,926293255,0,8.06,2022-01-23 07:29:54,2312.099
27012800,2022:1:23:7:29:54,3,11.3833447,47.3122361,2312081,35,-38,6,51,31679792,183,10,926293255,0,8.06,2022-01-23 07:29:54,2312.081
27012900,2022:1:23:7:29:54,3,11.3833451,47.3122358,2312074,-43,34,6,55,31679792,183,10,926293255,0,8.06,2022-01-23 07:29:54,2312.074
27013000,2022:1:23:7:29:55,3,11.3833451,47.3122358,2312075,-18,-22,12,28,31679792,183,10,926358791,0,8.06,2022-01-23 07:29:55,2312.075
27013100,2022:1:23:7:29:55,3,11.3833455,47.3122357,2312068,-4,85,18,85,31679792,183,10,926358791,0,8.06,2022-01-23 07:29:55,2312.068
27013200,2022:1:23:7:29:55,3,11.3833455,47.3122356,2312080,-39,11,15,40,31679792,183,10,926358791,1,8.06,2022-01-23 07:29:55,2312.08
27013300,2022:1:23:7:29:55,3,11.3833457,47.3122355,2312085,-29,25,13,38,31679792,183,10,926358791,1,8.06,2022-01-23 07:29:55,2312.085
27013400,2022:1:23:7:29:55,3,11.3833457,47.3122355,2312095,-6,3,9,6,31679792,183,10,926358791,1,8.06,2022-01-23 07:29:55,2312.095
27013500,2022:1:23:7:29:55,3,11.3833457,47.3122358,2312085,97,-26,14,101,31679792,183,10,926358791,1,8.06,2022-01-23 07:29:55,2312.085
27013600,2022:1:23:7:29:55,3,11.3833459,47.3122355,2312102,-16,8,8,18,31679792,183,10,926358791,1,8.06,2022-01-23 07:29:55,2312.102
27013700,2022:1:23:7:29:55,3,11.383346,47.3122355,2312099,33,-5,7,33,31679792,183,10,926358791,1,8.06,2022-01-23 07:29:55,2312.099
27013800,2022:1:23:7:29:55,3,11.3833462,47.3122355,2312098,20,34,10,39,31679792,183,10,926358791,1,8.06,2022-01-23 07:29:55,2312.098
27013900,2022:1:23:7:29:55,3,11.3833463,47.3122354,2312107,-6,18,3,19,31679792,183,10,926358791,1,8.06,2022-01-23 07:29:55,2312.107
27014000,2022:1:23:7:29:56,3,11.3833465,47.3122355,2312095,18,13,13,22,31679792,183,10,926424327,1,8.06,2022-01-23 07:29:56,2312.095
27014100,2022:1:23:7:29:56,3,11.3833466,47.3122355,2312098,16,22,14,27,31679792,183,10,926424327,1,8.06,2022-01-23 07:29:56,2312.098
27014200,2022:1:23:7:29:56,3,11.3833466,47.3122355,2312117,10,9,5,14,31679792,183,10,926424327,0,8.06,2022-01-23 07:29:56,2312.117
27014300,2022:1:23:7:29:56,3,11.3833466,47.3122355,2312131,43,-25,2,49,31679792,183,10,926424327,0,8.06,2022-01-23 07:29:56,2312.131
27014400,2022:1:23:7:29:56,3,11.3833468,47.3122354,2312136,13,-12,0,18,31679792,183,10,926424327,0,8.06,2022-01-23 07:29:56,2312.136
27014500,2022:1:23:7:29:56,3,11.383347,47.3122353,2312150,-10,2,-9,11,31679792,183,10,926424327,0,8.06,2022-01-23 07:29:56,2312.15
27014600,2022:1:23:7:29:56,3,11.383347,47.3122353,2312143,20,-41,-10,45,31679792,183,10,926424327,0,8.06,2022-01-23 07:29:56,2312.143
27014700,2022:1:23:7:29:56,3,11.3833471,47.3122354,2312134,63,-34,-10,72,31679792,183,10,926424327,0,8.06,2022-01-23 07:29:56,2312.134
27014800,2022:1:23:7:29:56,3,11.3833473,47.3122352,2312150,-4,8,-16,9,31679792,183,10,926424327,0,8.06,2022-01-23 07:29:56,2312.15
27014900,2022:1:23:7:29:56,3,11.3833472,47.3122351,2312178,5,-61,-30,62,31679792,183,10,926424327,0,8.06,2022-01-23 07:29:56,2312.178
27015000,2022:1:23:7:29:57,3,11.3833472,47.3122352,2312184,44,-84,-36,95,31679792,183,10,926489863,0,8.0,2022-01-23 07:29:57,2312.184
27015100,2022:1:23:7:29:57,3,11.3833476,47.3122349,2312175,-10,10,-33,14,31679792,183,10,926489863,0,8.0,2022-01-23 07:29:57,2312.175
27015200,2022:1:23:7:29:57,3,11.3833477,47.3122348,2312174,-20,-9,-30,22,31679792,183,10,926489863,1,8.0,2022-01-23 07:29:57,2312.174
27015300,2022:1:23:7:29:57,3,11.3833476,47.3122347,2312194,-45,-67,-38,80,31679792,183,10,926489863,1,8.0,2022-01-23 07:29:57,2312.194
27015400,2022:1:23:7:29:57,3,11.3833479,47.3122346,2312187,-25,20,-31,32,31679792,183,10,926489863,1,8.0,2022-01-23 07:29:57,2312.187
27015500,2022:1:23:7:29:57,3,11.3833481,47.3122345,2312183,-46,22,-22,51,31679792,183,10,926489863,1,8.0,2022-01-23 07:29:57,2312.183
27015600,2022:1:23:7:29:57,3,11.3833481,47.3122344,2312195,-65,-13,-18,66,31679792,183,10,926489863,1,8.0,2022-01-23 07:29:57,2312.195
27015700,2022:1:23:7:29:57,3,11.3833483,47.3122343,2312212,-47,56,-16,73,31679792,183,10,926489863,1,8.06,2022-01-23 07:29:57,2312.212
27015800,2022:1:23:7:29:57,3,11.3833485,47.3122343,2312208,-8,60,-1,61,31679792,183,10,926489863,1,8.06,2022-01-23 07:29:57,2312.208
